,ID,County,State,Urban,1970,1980,1990,2000,2019
2015-2019,1001,Autauga,AL,2,6.40%,12.10%,14.50%,18.00%,26.60%
2015-2019,1003,Baldwin,AL,3,6.50%,12.10%,16.80%,23.10%,31.90%
2015-2019,1005,Barbour,AL,6,7.30%,9.20%,11.80%,10.90%,11.60%
2015-2019,1007,Bibb,AL,1,4.20%,4.90%,4.70%,7.10%,10.40%
2015-2019,1009,Blount,AL,1,2.70%,5.30%,7.00%,9.60%,13.10%
2015-2019,1011,Bullock,AL,6,5.40%,8.80%,10.00%,7.70%,12.10%
2015-2019,1013,Butler,AL,6,4.60%,8.20%,8.00%,10.40%,16.10%
2015-2019,1015,Calhoun,AL,3,7.50%,11.00%,14.20%,15.20%,18.50%
2015-2019,1017,Chambers,AL,6,4.20%,7.40%,8.90%,9.50%,13.30%
2015-2019,1019,Cherokee,AL,6,3.80%,6.30%,6.70%,9.70%,12.80%
2015-2019,1021,Chilton,AL,1,3.00%,6.50%,7.50%,9.90%,12.70%
2015-2019,1023,Choctaw,AL,9,4.30%,7.00%,8.50%,9.60%,11.90%
2015-2019,1025,Clarke,AL,7,5.50%,8.90%,10.80%,12.10%,12.20%
2015-2019,1027,Clay,AL,9,4.30%,5.90%,7.30%,7.80%,10.60%
2015-2019,1029,Cleburne,AL,8,2.70%,5.80%,6.50%,9.20%,15.40%
2015-2019,1031,Coffee,AL,4,5.80%,12.20%,16.50%,19.30%,22.80%
2015-2019,1033,Colbert,AL,3,5.80%,9.40%,11.50%,14.10%,18.10%
2015-2019,1035,Conecuh,AL,7,4.10%,6.20%,6.40%,9.20%,12.80%
2015-2019,1037,Coosa,AL,8,3.40%,3.60%,6.30%,8.00%,12.80%
2015-2019,1039,Covington,AL,6,4.70%,7.10%,9.10%,12.20%,15.30%
2015-2019,1041,Crenshaw,AL,8,3.90%,6.80%,8.40%,11.20%,17.40%
2015-2019,1043,Cullman,AL,4,3.90%,7.30%,7.80%,11.90%,13.90%
2015-2019,1045,Dale,AL,4,9.00%,11.60%,13.50%,14.00%,18.10%
2015-2019,1047,Dallas,AL,4,8.80%,11.30%,12.20%,13.90%,14.70%
2015-2019,1049,DeKalb,AL,6,3.70%,5.70%,7.10%,8.30%,13.00%
2015-2019,1051,Elmore,AL,2,5.40%,10.30%,12.80%,16.60%,25.10%
2015-2019,1053,Escambia,AL,6,4.80%,7.20%,7.60%,10.60%,12.50%
2015-2019,1055,Etowah,AL,3,5.20%,8.90%,10.20%,13.40%,17.80%
2015-2019,1057,Fayette,AL,6,3.80%,7.30%,8.50%,9.20%,12.40%
2015-2019,1059,Franklin,AL,6,3.40%,6.00%,6.90%,9.70%,14.00%
2015-2019,1061,Geneva,AL,3,4.50%,5.90%,6.80%,8.70%,12.50%
2015-2019,1063,Greene,AL,8,6.50%,9.60%,10.40%,10.50%,10.10%
2015-2019,1065,Hale,AL,3,5.00%,6.70%,8.90%,8.10%,14.20%
2015-2019,1067,Henry,AL,3,4.80%,8.60%,8.20%,14.10%,17.10%
2015-2019,1069,Houston,AL,3,7.00%,12.70%,15.00%,18.40%,21.70%
2015-2019,1071,Jackson,AL,6,3.40%,6.80%,8.00%,10.40%,14.00%
2015-2019,1073,Jefferson,AL,1,9.50%,15.80%,19.90%,24.60%,33.40%
2015-2019,1075,Lamar,AL,8,3.40%,5.90%,6.20%,7.80%,11.90%
2015-2019,1077,Lauderdale,AL,3,8.30%,13.00%,16.40%,18.50%,23.50%
2015-2019,1079,Lawrence,AL,3,2.40%,4.00%,6.20%,7.50%,12.60%
2015-2019,1081,Lee,AL,3,16.60%,21.60%,25.30%,27.90%,35.30%
2015-2019,1083,Limestone,AL,2,6.20%,8.70%,13.80%,16.90%,25.70%
2015-2019,1085,Lowndes,AL,2,5.00%,6.80%,8.20%,11.00%,14.70%
2015-2019,1087,Macon,AL,6,14.70%,18.10%,18.00%,18.80%,20.40%
2015-2019,1089,Madison,AL,2,18.80%,21.40%,30.10%,34.30%,42.80%
2015-2019,1091,Marengo,AL,7,6.40%,8.80%,11.50%,12.10%,16.10%
2015-2019,1093,Marion,AL,7,3.50%,6.10%,6.70%,8.00%,12.80%
2015-2019,1095,Marshall,AL,4,5.20%,8.60%,11.50%,13.90%,19.40%
2015-2019,1097,Mobile,AL,2,7.50%,12.40%,15.50%,18.60%,23.20%
2015-2019,1099,Monroe,AL,7,5.70%,8.70%,10.80%,11.80%,13.50%
2015-2019,1101,Montgomery,AL,2,12.70%,20.00%,24.20%,28.50%,33.40%
2015-2019,1103,Morgan,AL,3,8.40%,11.80%,15.50%,18.40%,22.40%
