Rank,City,State,Population,County,2020 land area,,2020 population density,,Location,
1,New York,New York,"8,804,190",Nassau,0.0769,300.5 sq mi,778.3 km2,"29,298/sq mi","11,312/km2",40.66°N 73.93°W
2,Los Angeles,California,"3,898,747",Los Angeles,0.028,469.5 sq mi,"1,216.0 km2","8,304/sq mi","3,206/km2",34.01°N 118.41°W
3,Chicago,Illinois,"2,746,388",Cook,0.0188,227.7 sq mi,589.7 km2,"12,061/sq mi","4,657/km2",41.83°N 87.68°W
4,Houston,Texas,"2,304,580",Harris,0.0977,640.4 sq mi,"1,658.6 km2","3,599/sq mi","1,390/km2",29.78°N 95.39°W
5,Phoenix,Arizona,"1,608,139",Maricopa,0.1124,518.0 sq mi,"1,341.6 km2","3,105/sq mi","1,199/km2",33.57°N 112.09°W
6,Philadelphia,Pennsylvania,"1,603,797",Philadelphia,0.051,134.4 sq mi,348.1 km2,"11,933/sq mi","4,607/km2",40.00°N 75.13°W
7,San Antonio,Texas,"1,434,625",Bexar,0.0808,498.8 sq mi,"1,291.9 km2","2,876/sq mi","1,110/km2",29.47°N 98.52°W
8,San Diego,California,"1,386,932",San Diego,0.0608,325.9 sq mi,844.1 km2,"4,256/sq mi","1,643/km2",32.81°N 117.13°W
9,Dallas,Texas,"1,304,379",Dallas,0.089,339.6 sq mi,879.6 km2,"3,841/sq mi","1,483/km2",32.79°N 96.76°W
10,San Jose,California,"1,013,240",Santa Clara,0.0711,178.3 sq mi,461.8 km2,"5,683/sq mi","2,194/km2",37.29°N 121.81°W
11,Austin,Texas,"961,855",Austin,0.2169,319.9 sq mi,828.5 km2,"3,007/sq mi","1,161/km2",30.30°N 97.75°W
12,Jacksonville,Florida,"949,611",Duval,0.1555,747.3 sq mi,"1,935.5 km2","1,271/sq mi",491/km2,30.33°N 81.66°W
13,Fort Worth,Texas,"918,915",Fort Worth,0.2398,342.9 sq mi,888.1 km2,"2,646/sq mi","1,022/km2",32.78°N 97.34°W
14,Columbus,Ohio,"905,748",Franklin,0.1508,220.0 sq mi,569.8 km2,"4,117/sq mi","1,590/km2",39.98°N 82.98°W
15,Indianapolis,Indiana,"887,642",Marion,0.0819,361.6 sq mi,936.5 km2,"2,455/sq mi",948/km2,39.77°N 86.14°W
16,Charlotte,North Carolina,"874,579",Mecklenburg,0.1957,308.3 sq mi,798.5 km2,"2,837/sq mi","1,095/km2",35.20°N 80.83°W
17,San Francisco,California,"873,965",San Francisco,0.0854,46.9 sq mi,121.5 km2,"18,635/sq mi","7,195/km2",37.72°N 123.03°W
18,Seattle,Washington,"737,015",King,0.2109,83.8 sq mi,217.0 km2,"8,795/sq mi","3,396/km2",47.62°N 122.35°W
19,Denver,Colorado,"715,522",Denver,0.1922,153.1 sq mi,396.5 km2,"4,674/sq mi","1,805/km2",39.76°N 104.88°W
20,Washington,District of Columbia,"689,545",District of Columbia,0.146,61.1 sq mi,158.2 km2,"11,286/sq mi","4,358/km2",38.90°N 77.01°W
21,Nashville,Tennessee,"689,447",Davidson,0.1467,475.8 sq mi,"1,232.3 km2","1,449/sq mi",559/km2,36.17°N 86.78°W
22,Oklahoma City,Oklahoma,"681,054",Oklahoma,0.1742,606.2 sq mi,"1,570.1 km2","1,123/sq mi",434/km2,35.46°N 97.51°W
23,El Paso,Texas,"678,815",El Paso,0.0457,258.4 sq mi,669.3 km2,"2,627/sq mi","1,014/km2",31.84°N 106.42°W
24,Boston,Massachusetts,"675,647",Suffolk,0.094,48.3 sq mi,125.1 km2,"13,989/sq mi","5,401/km2",42.33°N 71.02°W
25,Portland,Oregon,"652,503",Multnomah,0.1177,133.5 sq mi,345.8 km2,"4,888/sq mi","1,887/km2",45.53°N 122.65°W
26,Las Vegas,Nevada,"641,903",Clark,0.0996,141.8 sq mi,367.3 km2,"4,527/sq mi","1,748/km2",36.22°N 115.26°W
27,Detroit,Michigan,"639,111",Wayne,-10.46%,138.7 sq mi,359.2 km2,"4,608/sq mi","1,779/km2",42.38°N 83.10°W
28,Memphis,Tennessee,"633,104",Shelby,-2.13%,297.0 sq mi,769.2 km2,"2,132/sq mi",823/km2,35.10°N 89.97°W
29,Louisville,Kentucky,"633,045",Jefferson,0.0598,263.5 sq mi,682.5 km2,"2,402/sq mi",927/km2,38.16°N 85.64°W
30,Baltimore,Maryland,"585,708",Baltimore,-5.68%,80.9 sq mi,209.5 km2,"7,240/sq mi","2,800/km2",39.30°N 76.61°W
31,Milwaukee,Wisconsin,"577,222",Milwaukee,-2.96%,96.2 sq mi,249.2 km2,"6,000/sq mi","2,300/km2",43.06°N 87.96°W
32,Albuquerque,New Mexico,"564,559",Bernalillo,0.0343,187.3 sq mi,485.1 km2,"3,014/sq mi","1,164/km2",35.10°N 106.64°W
33,Tucson,Arizona,"542,629",Pima,0.0433,241.0 sq mi,624.2 km2,"2,252/sq mi",870/km2,32.15°N 110.87°W
34,Fresno,California,"542,107",Fresno,0.0959,115.2 sq mi,298.4 km2,"4,706/sq mi","1,817/km2",36.78°N 119.79°W
35,Sacramento,California,"524,943",Sacramento,0.1253,98.6 sq mi,255.4 km2,"5,324/sq mi","2,056/km2",38.56°N 121.46°W
