,ID,County,State,Urban,1970,1980,1990,2000,2019
2015-2019,1001,Autauga,AL,2,0.06,0.12,0.15,0.18,0.27
2015-2019,1003,Baldwin,AL,3,0.07,0.12,0.17,0.23,0.32
2015-2019,1005,Barbour,AL,6,0.07,0.09,0.12,0.11,0.12
2015-2019,1007,Bibb,AL,1,0.04,0.05,0.05,0.07,0.10
2015-2019,1009,Blount,AL,1,0.03,0.05,0.07,0.10,0.13
2015-2019,1011,Bullock,AL,6,0.05,0.09,0.10,0.08,0.12
2015-2019,1013,Butler,AL,6,0.05,0.08,0.08,0.10,0.16
2015-2019,1015,Calhoun,AL,3,0.08,0.11,0.14,0.15,0.19
2015-2019,1017,Chambers,AL,6,0.04,0.07,0.09,0.10,0.13
2015-2019,1019,Cherokee,AL,6,0.04,0.06,0.07,0.10,0.13
2015-2019,1021,Chilton,AL,1,0.03,0.07,0.08,0.10,0.13
2015-2019,1023,Choctaw,AL,9,0.04,0.07,0.09,0.10,0.12
2015-2019,1025,Clarke,AL,7,0.06,0.09,0.11,0.12,0.12
2015-2019,1027,Clay,AL,9,0.04,0.06,0.07,0.08,0.11
2015-2019,1029,Cleburne,AL,8,0.03,0.06,0.07,0.09,0.15
2015-2019,1031,Coffee,AL,4,0.06,0.12,0.17,0.19,0.23
2015-2019,1033,Colbert,AL,3,0.06,0.09,0.12,0.14,0.18
2015-2019,1035,Conecuh,AL,7,0.04,0.06,0.06,0.09,0.13
2015-2019,1037,Coosa,AL,8,0.03,0.04,0.06,0.08,0.13
2015-2019,1039,Covington,AL,6,0.05,0.07,0.09,0.12,0.15
2015-2019,1041,Crenshaw,AL,8,0.04,0.07,0.08,0.11,0.17
2015-2019,1043,Cullman,AL,4,0.04,0.07,0.08,0.12,0.14
2015-2019,1045,Dale,AL,4,0.09,0.12,0.14,0.14,0.18
2015-2019,1047,Dallas,AL,4,0.09,0.11,0.12,0.14,0.15
2015-2019,1049,DeKalb,AL,6,0.04,0.06,0.07,0.08,0.13
2015-2019,1051,Elmore,AL,2,0.05,0.10,0.13,0.17,0.25
2015-2019,1053,Escambia,AL,6,0.05,0.07,0.08,0.11,0.13
2015-2019,1055,Etowah,AL,3,0.05,0.09,0.10,0.13,0.18
2015-2019,1057,Fayette,AL,6,0.04,0.07,0.09,0.09,0.12
2015-2019,1059,Franklin,AL,6,0.03,0.06,0.07,0.10,0.14
2015-2019,1061,Geneva,AL,3,0.05,0.06,0.07,0.09,0.13
2015-2019,1063,Greene,AL,8,0.07,0.10,0.10,0.11,0.10
2015-2019,1065,Hale,AL,3,0.05,0.07,0.09,0.08,0.14
2015-2019,1067,Henry,AL,3,0.05,0.09,0.08,0.14,0.17
2015-2019,1069,Houston,AL,3,0.07,0.13,0.15,0.18,0.22
2015-2019,1071,Jackson,AL,6,0.03,0.07,0.08,0.10,0.14
2015-2019,1073,Jefferson,AL,1,0.10,0.16,0.20,0.25,0.33
2015-2019,1075,Lamar,AL,8,0.03,0.06,0.06,0.08,0.12
2015-2019,1077,Lauderdale,AL,3,0.08,0.13,0.16,0.19,0.24
