Position,"Track Name",Artist,URL
1,"Calma - Remix","Pedro Capó",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
2,"Going Bad (feat. Drake)","Meek Mill",https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
3,Trampoline,SHAED,https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk
4,"A Cover Is Not the Book","Emily Blunt",https://open.spotify.com/track/4aXYjdLxgXUgFgQk23t8Tv
5,"thank u, next","Ariana Grande",https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
6,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
7,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
8,"Apple Juice (feat. Carla Monroe) - MOTi Remix",SLATIN,https://open.spotify.com/track/6fIgsZFtGXiIvxb2Y6oCc7
9,"Can You Imagine That?","Emily Blunt",https://open.spotify.com/track/5ollDCofTmRZN0Bbhz4EDW
10,"Adan y Eva","Paulo Londra",https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
11,"The Place Where Lost Things Go - From ""Mary Poppins Returns""","Emily Blunt",https://open.spotify.com/track/1Ea0zWC9cjfsF70fvZ3qva
12,"Sexual Vibe","Stephen Puth",https://open.spotify.com/track/57nU6ivxzZemOQaQK0hqEs
13,Grip,Seeb,https://open.spotify.com/track/3gicyfiEVMGONgzygpWjNT
14,Habit,"Still Woozy",https://open.spotify.com/track/1M321puDN1WBd5NF0ogOKW
15,"Someone You Loved","Lewis Capaldi",https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
16,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
17,"whoa (mind in awe)",XXXTENTACION,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
18,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
19,"Sweet but Psycho","Ava Max",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
20,Splashin,"Rich The Kid",https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
21,"Without Me",Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
22,"Bitch Lasagna","Party in Backyard",https://open.spotify.com/track/0xGl8HKFncXK7aFZRTGZsr
23,"Space Cadet (feat. Gunna)","Metro Boomin",https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
24,"A Solas - Remix",Lunay,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
25,"Project Dreams",Marshmello,https://open.spotify.com/track/0PowxVSTY2uh1CPc8EPKyX
26,"So Close",NOTD,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK
27,"Saturday Nights",Khalid,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
28,"Dancin - Krono Remix (Extended)","Aaron Smith",https://open.spotify.com/track/2jYcqzT5RkJaJvdk1PxFGj
29,"Good Grace - Live","Hillsong UNITED",https://open.spotify.com/track/2vfXvhJepsm4imsD8CRK3H
30,"10 Freaky Girls (with 21 Savage)","Metro Boomin",https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
31,"Make Me Want To","Jimmie Allen",https://open.spotify.com/track/0AYbVoeF03NYhM0fvKjAuU
32,"Eastside (with Halsey & Khalid)","benny blanco",https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
33,"Gonna Love Me (feat. Ghostface Killah, Method Man & Raekwon) - Remix","Teyana Taylor",https://open.spotify.com/track/6D53lwtCp4kY6B7aZGkOxB
34,"Ella Quiere Beber - Remix","Anuel AA",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
