Position,Track Name,Artist
24,"1, 2 Many",Luke Combs
24,"1, 2 Many",Luke Combs
30,10 Freaky Girls (with 21 Savage),Metro Boomin
30,10 Freaky Girls (with 21 Savage),Metro Boomin
49,"10,000 Hours (with Justin Bieber)",Dan + Shay
49,"10,000 Hours (with Justin Bieber)",Dan + Shay
40,100 Bad Days,AJR
40,100 Bad Days,AJR
31,105 F Remix,KEVVO
31,105 F Remix,KEVVO
43,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD
43,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD
39,223's (feat. 9lokknine),YNW Melly
39,223's (feat. 9lokknine),YNW Melly
37,23 Island,JayDaYoungan
37,23 Island,JayDaYoungan
47,3 Nights,Dominic Fike
47,3 Nights,Dominic Fike
44,7 rings,Ariana Grande
44,7 rings,Ariana Grande
8,90mh,Trefuego
8,90mh,Trefuego
4,A Cover Is Not the Book,Emily Blunt
4,A Cover Is Not the Book,Emily Blunt
12,a lot,21 Savage
12,a lot,21 Savage
26,A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince
26,A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince
24,A Solas - Remix,Lunay
24,A Solas - Remix,Lunay
34,A Whole New World,Mena Massoud
34,A Whole New World,Mena Massoud
20,"A Whole New World (End Title) - From ""Aladdin""",ZAYN
20,"A Whole New World (End Title) - From ""Aladdin""",ZAYN
8,A.M.,Lonr.
8,A.M.,Lonr.
41,Act a Fool (feat. Wale),Rick Ross
41,Act a Fool (feat. Wale),Rick Ross
21,Act Up,City Girls
21,Act Up,City Girls
10,Adan y Eva,Paulo Londra
10,Adan y Eva,Paulo Londra
29,Addiction (feat. Lil Wayne & Saweetie),Big K.R.I.T.
29,Addiction (feat. Lil Wayne & Saweetie),Big K.R.I.T.
3,Adicto (with Anuel AA & Ozuna),Tainy
3,Adicto (with Anuel AA & Ozuna),Tainy
31,Alice,Jack Curley
31,Alice,Jack Curley
44,Alive,Ouska
44,Alive,Ouska
20,All Around The World (La La La),R3HAB
20,All Around The World (La La La),R3HAB
42,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones
42,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones
29,All For Us,Labrinth
29,All For Us,Labrinth
12,All For Us - from the HBO Original Series Euphoria,Labrinth
12,All For Us - from the HBO Original Series Euphoria,Labrinth
3,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo
3,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo
28,All Is Found,Evan Rachel Wood
28,All Is Found,Evan Rachel Wood
45,All Is Found - Kacey Musgraves Version,Kacey Musgraves
45,All Is Found - Kacey Musgraves Version,Kacey Musgraves
3,All Talk,3ohBlack
3,All Talk,3ohBlack
20,All Your'n,Tyler Childers
20,All Your'n,Tyler Childers
45,Alley Oop (feat. Lil Baby),Yung Gravy
45,Alley Oop (feat. Lil Baby),Yung Gravy
29,Almost (Sweet Music),Hozier
29,Almost (Sweet Music),Hozier
47,Aloha,10k.Caash
47,Aloha,10k.Caash
18,Aloha (feat. GUN40),10k.Caash
18,Aloha (feat. GUN40),10k.Caash
43,Alone (feat. A Boogie Wit da Hoodie),Trap Manny
43,Alone (feat. A Boogie Wit da Hoodie),Trap Manny
15,Already Dead,Lil Boom
15,Already Dead,Lil Boom
45,America The Beautiful,Ray Charles
45,America The Beautiful,Ray Charles
4,Amour Plastique,Videoclub
21,Amour plastique,Videoclub
4,Amour Plastique,Videoclub
21,Amour plastique,Videoclub
30,Anxiety (with Selena Gomez),Julia Michaels
30,Anxiety (with Selena Gomez),Julia Michaels
41,Anything but Yellow,Haley Mae Campbell
41,Anything but Yellow,Haley Mae Campbell
50,Anything She Says,Mitchell Tenpenny
50,Anything She Says,Mitchell Tenpenny
8,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN
8,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN
8,Arcade,Duncan Laurence
8,Arcade,Duncan Laurence
47,Ashley (with DaBaby),Stunna 4 Vegas
47,Ashley (with DaBaby),Stunna 4 Vegas
32,Asshole,hooligan chase
32,Asshole,hooligan chase
47,Aullando,Wisin & Yandel
47,Aullando,Wisin & Yandel
27,Ayy Macarena,Tyga
27,Ayy Macarena,Tyga
36,B*tch From Da Souf,Latto
36,B*tch From Da Souf,Latto
32,Baby,Amenazzy
32,Baby,Amenazzy
47,Baby (Lil Baby feat. DaBaby),Quality Control
47,Baby (Lil Baby feat. DaBaby),Quality Control
28,Baby I'm Yours (feat. Irfane),Breakbot
28,Baby I'm Yours (feat. Irfane),Breakbot
46,Baby Sitter (feat. Offset),DaBaby
46,Baby Sitter (feat. Offset),DaBaby
11,Bachelorettes on Broadway,Willie Jones
11,Bachelorettes on Broadway,Willie Jones
24,Bad Bad Bad (feat. Lil Baby),Young Thug
24,Bad Bad Bad (feat. Lil Baby),Young Thug
8,bad guy,Billie Eilish
8,bad guy,Billie Eilish
40,bad guy (with Justin Bieber),Billie Eilish
40,bad guy (with Justin Bieber),Billie Eilish
42,Bad Idea (feat. Chance the Rapper),Cordae
42,Bad Idea (feat. Chance the Rapper),Cordae
34,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard
34,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard
35,Baila Baila Baila,Ozuna
35,Baila Baila Baila,Ozuna
22,Baila Conmigo (feat. Kelly Ruiz),Dayvi
22,Baila Conmigo (feat. Kelly Ruiz),Dayvi
49,Ballin' (with Roddy Ricch),Mustard
