24,"1, 2 Many",Luke Combs
30,10 Freaky Girls (with 21 Savage),Metro Boomin
49,"10,000 Hours (with Justin Bieber)",Dan + Shay
40,100 Bad Days,AJR
31,105 F Remix,KEVVO
43,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD
39,223's (feat. 9lokknine),YNW Melly
37,23 Island,JayDaYoungan
47,3 Nights,Dominic Fike
44,7 rings,Ariana Grande
8,90mh,Trefuego
4,A Cover Is Not the Book,Emily Blunt
26,A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince
24,A Solas - Remix,Lunay
34,A Whole New World,Mena Massoud
20,"A Whole New World (End Title) - From ""Aladdin""",ZAYN
8,A.M.,Lonr.
21,Act Up,City Girls
41,Act a Fool (feat. Wale),Rick Ross
10,Adan y Eva,Paulo Londra
29,Addiction (feat. Lil Wayne & Saweetie),Big K.R.I.T.
3,Adicto (with Anuel AA & Ozuna),Tainy
31,Alice,Jack Curley
44,Alive,Ouska
20,All Around The World (La La La),R3HAB
42,All Day And Night - Jax Jones & Martin Solveig Present Europa,Jax Jones
29,All For Us,Labrinth
12,All For Us - from the HBO Original Series Euphoria,Labrinth
3,"All I Want - From ""High School Musical: The Musical: The Series""",Olivia Rodrigo
28,All Is Found,Evan Rachel Wood
45,All Is Found - Kacey Musgraves Version,Kacey Musgraves
3,All Talk,3ohBlack
20,All Your'n,Tyler Childers
45,Alley Oop (feat. Lil Baby),Yung Gravy
29,Almost (Sweet Music),Hozier
47,Aloha,10k.Caash
18,Aloha (feat. GUN40),10k.Caash
43,Alone (feat. A Boogie Wit da Hoodie),Trap Manny
15,Already Dead,Lil Boom
45,America The Beautiful,Ray Charles
4,Amour Plastique,Videoclub
21,Amour plastique,Videoclub
30,Anxiety (with Selena Gomez),Julia Michaels
50,Anything She Says,Mitchell Tenpenny
41,Anything but Yellow,Haley Mae Campbell
8,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN
8,Arcade,Duncan Laurence
47,Ashley (with DaBaby),Stunna 4 Vegas
32,Asshole,hooligan chase
47,Aullando,Wisin & Yandel
27,Ayy Macarena,Tyga
36,B*tch From Da Souf,Latto
17,BEST ON EARTH (feat. BIA) - Bonus,Russ
43,BIG,Young M.A
46,BIG TYME (feat. Swizz Beatz),Rick Ross
25,BIRTHDAY,JEON SOMI
32,BOP,DaBaby
1,BOYFREN,LoveLeo
45,BRB,Luh Kel
32,Baby,Amenazzy
47,Baby (Lil Baby feat. DaBaby),Quality Control
28,Baby I'm Yours (feat. Irfane),Breakbot
46,Baby Sitter (feat. Offset),DaBaby
11,Bachelorettes on Broadway,Willie Jones
24,Bad Bad Bad (feat. Lil Baby),Young Thug
42,Bad Idea (feat. Chance the Rapper),Cordae
34,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard
35,Baila Baila Baila,Ozuna
22,Baila Conmigo (feat. Kelly Ruiz),Dayvi
49,Ballin' (with Roddy Ricch),Mustard
44,Bandit (with YoungBoy Never Broke Again),Juice WRLD
17,Be Gone Thot!,LIL MAYO
30,Be Honest (feat. Burna Boy),Jorja Smith
47,Beautiful Crazy,Luke Combs
40,Beautiful People (feat. Khalid),Ed Sheeran
35,Beauty & Essex,Free Nationals
19,Becky,Championxiii
9,Beef FloMix,Flo Milli
19,Beer Never Broke My Heart,Luke Combs
29,Before You Go,Lewis Capaldi
22,Beggin',Madcon
21,Behind Barz - Bonus,Drake
34,Bellacoso,Residente
38,Bellas,Anthony Santos
40,Best Part (feat. Daniel Caesar),H.E.R.
33,Bestie (feat. Kodak Black),Bhad Bhabie
32,Better Together,Luke Combs
46,Bezerk (feat. A$AP Ferg),Big Sean
20,Big Drip,Fivio Foreign
17,Big Ole Freak,Megan Thee Stallion
37,Big Plans,Why Don't We
28,"Big, Big Plans",Chris Lane
19,Birthday Suit,Cosmo Sheldrake
49,Bitch Lasagna,Party in Backyard
26,Bitchuary,Shordie Shordie
48,Bleed It,Blueface
10,Blinding Lights,The Weeknd
25,Blue Laces 2,Nipsey Hussle
3,Blueberry Fuego,Yeezys Activist
30,Boasty (feat. Idris Elba),Wiley
18,Bola Rebola,Tropkillaz
9,Bon Bon Chocolat,EVERGLOW
42,Bones (feat. OneRepublic),Galantis
37,Borderline,Tame Impala
45,Bossa No Sé (feat. Jean Carter),Cuco
11,Boy With Luv (feat. Halsey),BTS
40,Boys Will Be Bugs,Cavetown
49,Breathe,The Prodigy
25,Broke,Samm Henshaw
28,Brothers,Bankrol Hayden
41,Buff Baby,tobi lou
11,Burnin' Up,Jonas Brothers
10,Bust It Open,Lil Wil
30,Buttercup,Jack Stauber
31,Butterflies,Kacey Musgraves
43,Buy My Own Drinks,Runaway June
35,CAPO,NLE Choppa
37,CIVIL WAR - Bonus,Russ
7,CROWN,TOMORROW X TOGETHER
9,Call Me Daddy (feat. Lil Baby),PopLord
32,Call You Mine (feat. Bebe Rexha),The Chainsmokers
38,Callaita,Bad Bunny
1,Calma - Remix,Pedro Capó
6,Camelot,NLE Choppa
49,Can I Call You Tonight?,Dayglow
49,Can We Kiss Forever?,Kina
24,Can You Imagine That?,Emily Blunt
